step,scored,puck_x,puck_y,puck_vx,puck_vy
387106,1,121.40,25.02,489.64,-386.79
387155,0,172.02,508.75,-364.52,450.99
388819,0,142.56,511.20,-382.33,594.86
389675,1,159.02,24.15,426.74,-833.60
389720,1,201.48,34.32,-186.12,-914.93
391415,1,118.72,26.36,-221.44,-918.31
391457,0,196.65,507.37,-457.24,491.46
392422,0,138.40,515.88,662.97,266.23
394136,1,142.32,24.92,614.31,-243.34
394180,0,179.45,516.17,-416.96,580.02
395151,0,128.98,510.33,-370.64,856.61
396035,1,127.86,28.07,580.04,-709.41
396076,0,179.38,513.64,62.56,664.11
397882,1,156.36,31.78,-578.63,-751.85
398135,0,156.99,506.97,-143.19,842.16
400667,1,132.79,25.57,442.44,-377.92
401050,0,157.52,515.40,-258.09,344.70
401997,1,141.76,25.24,-266.96,-382.35
402080,0,178.69,511.03,366.87,766.76
403741,1,121.17,28.12,733.91,-505.25
403934,0,196.99,503.29,-288.65,888.92
405963,1,130.18,23.43,470.26,-561.78
406324,1,133.99,38.06,-310.48,-872.97
406620,0,140.31,516.81,625.64,640.59
409069,1,119.73,25.61,825.24,-462.91
409115,1,146.05,26.04,-337.58,-880.57
409228,1,158.86,26.37,-556.66,-431.26
409449,1,133.89,26.68,224.67,-697.49
409684,0,203.45,503.42,-316.64,872.79
414581,0,161.99,516.89,628.40,456.72
415466,1,149.69,27.61,-740.69,-589.82
415509,1,149.99,33.94,-321.06,-887.39
416002,1,147.10,25.65,241.88,-884.53
416058,1,132.45,25.14,654.06,-633.30
416372,1,191.32,30.36,175.02,-836.83
416742,1,168.64,26.42,927.86,-175.55
416815,0,177.00,513.30,908.11,279.00
420504,0,172.22,506.40,435.24,607.83
424605,0,152.61,510.24,-135.96,926.24
425464,1,124.76,25.96,724.43,-478.61
425667,1,163.28,24.66,775.99,-291.44
425897,0,151.66,515.03,-307.87,265.39
429739,1,156.04,24.27,-833.64,-442.26
430029,0,122.88,505.36,362.99,840.88
432559,0,143.75,516.68,500.18,667.22
433507,1,125.46,26.84,-531.86,-433.53
434094,0,122.55,515.37,-498.97,264.53
434976,0,188.65,509.70,314.49,863.03
435848,0,143.26,516.65,622.31,551.20
438339,0,201.91,515.27,-44.07,455.51
439284,1,149.18,27.05,-537.21,-729.68
439728,0,129.62,508.53,-508.29,656.20
442386,0,145.36,501.66,155.37,917.19
443874,0,187.25,514.50,320.14,397.34
444846,0,130.15,515.83,151.90,104.42
446507,0,152.99,512.89,-305.05,358.37
447602,1,132.55,27.61,629.39,-637.31
448020,0,170.89,516.27,500.56,699.30
450465,0,199.66,507.84,-392.25,571.59
451353,0,203.18,508.96,-451.69,709.76
453058,0,157.51,503.95,-91.64,930.10
454703,1,193.10,23.49,392.15,-857.31
454991,0,172.69,514.20,-639.98,568.40
457516,0,143.53,501.17,121.72,842.11
460042,0,172.41,512.32,363.73,458.45
463543,1,207.27,27.26,-558.67,-248.49
464559,0,115.72,508.13,660.05,623.86
465527,1,121.60,27.41,94.46,-922.64
465594,0,112.54,505.41,184.35,636.48
466591,0,168.01,512.32,-713.53,270.49
469041,0,130.41,512.65,-117.67,801.48
470832,1,130.49,25.97,410.79,-261.76
470935,1,134.90,26.19,556.79,-475.47
471252,1,185.92,23.98,551.44,-375.05
471339,0,167.54,515.81,-507.86,659.88
476246,1,140.47,30.88,-370.43,-854.34
476461,1,183.88,28.33,-676.04,-382.80
476567,0,175.38,510.19,567.73,468.78
478219,1,208.46,23.51,-807.66,-495.97
478411,0,113.67,513.44,917.76,237.94
479769,0,141.73,514.18,114.29,844.62
480692,0,128.90,511.25,-454.33,471.58
490355,0,187.33,511.49,307.98,335.86
491231,0,159.76,501.44,307.45,803.76
492171,0,128.70,516.03,-556.88,243.56
493070,0,115.57,512.06,231.42,822.37
494031,1,188.26,27.96,-477.10,-268.61
494173,1,126.58,26.83,270.05,-299.51
494233,1,153.56,26.60,-611.28,-673.44
494364,1,164.87,29.58,-636.13,-444.95
494516,0,167.39,507.17,213.25,842.51
496385,0,115.30,514.77,742.84,357.81
497304,0,166.07,511.35,298.74,375.56
498162,1,185.61,24.77,465.09,-353.08
498352,1,166.68,39.31,-127.19,-841.27
498405,1,160.79,28.48,218.06,-901.36
498551,1,152.17,25.33,-150.77,-922.05
499182,0,159.06,503.25,-236.52,860.64
504825,1,176.22,23.52,333.85,-881.99
504873,1,159.00,32.59,516.83,-784.32
505084,1,163.09,35.27,69.55,-925.48
505417,1,192.72,23.35,885.40,-340.82
505745,1,203.83,39.76,-215.21,-905.66
506244,0,200.98,513.64,-512.09,754.43
507095,1,106.09,28.22,777.05,-439.38
507256,0,179.94,514.12,-137.05,305.05
509381,1,205.15,25.35,-209.33,-907.35
509866,1,162.98,26.53,364.94,-287.02
510154,0,173.24,511.62,-223.35,515.25
512685,0,180.84,516.63,-225.99,901.11
513890,0,163.70,510.70,-509.44,635.89
515592,0,145.53,510.31,-230.16,837.97
518087,0,118.99,512.76,165.16,255.98
520258,1,118.73,28.07,272.52,-894.97
520397,1,160.73,26.26,-495.23,-509.97
520498,0,137.97,512.84,-526.23,275.74
521337,1,159.52,38.67,282.08,-900.87
521426,1,176.26,24.39,344.57,-515.66
521702,0,196.91,508.49,-223.18,905.97
522613,1,174.31,27.67,644.78,-556.37
522764,1,193.20,25.73,-275.48,-194.82
522803,1,168.47,34.43,274.18,-902.98
523099,1,163.70,37.00,445.61,-793.21
523197,1,115.19,27.55,151.68,-333.41
523511,0,189.19,515.07,475.32,206.49
525308,1,149.40,27.24,-422.17,-807.59
525814,1,128.03,39.13,106.13,-851.87
525867,0,121.94,511.83,-433.37,481.23
