step,ep_return_mean,ep_length_mean,q_loss,pi_loss,alpha,entropy
1720000,0.0465,433.15,0.2092,-2.5977,0.0498,1.0387
1725000,1.2227,430.05,0.1716,-2.7689,0.0498,1.0520
1730000,0.7730,523.80,0.1312,-3.0030,0.0498,1.0703
1735000,2.3652,551.75,0.1481,-2.4074,0.0498,1.0909
1740000,6.8028,625.70,0.6065,-2.9611,0.0498,1.0126
1745000,5.6610,728.35,0.3429,-2.3113,0.0498,1.0897
1750000,8.0045,622.45,0.2537,-2.4698,0.0498,1.0599
1755000,8.0923,493.20,0.5602,-2.9749,0.0498,1.1000
1760000,4.0978,548.15,0.1029,-2.5388,0.0498,1.0531
1765000,5.8675,589.85,0.1844,-2.3117,0.0498,1.0939
1770000,7.2265,623.00,0.1099,-2.8419,0.0498,1.1059
1775000,4.4699,431.05,0.1197,-2.6312,0.0498,1.0928
1780000,1.9198,444.30,0.2506,-2.7462,0.0498,1.0822
1785000,0.6739,543.85,0.2282,-2.7004,0.0498,0.9598
1790000,3.6203,570.15,0.1900,-2.5332,0.0498,1.0358
1795000,4.0547,540.50,0.1808,-2.9108,0.0498,1.0342
1800000,1.1569,459.90,0.6016,-2.4952,0.0498,1.1103
1805000,3.9790,420.60,0.2503,-2.7295,0.0498,0.9898
1810000,4.5746,468.90,0.1273,-2.3814,0.0498,1.0859
1815000,9.3358,549.40,0.9526,-2.5764,0.0498,0.9760
1820000,6.2014,540.75,0.1885,-2.3917,0.0498,1.0367
1825000,-0.8481,526.60,0.5387,-2.9826,0.0498,1.0742
1830000,8.9799,532.00,0.4078,-2.3510,0.0498,1.0209
1835000,10.5293,378.40,0.1694,-2.7358,0.0498,1.0186
1840000,5.3300,365.70,0.2563,-3.1140,0.0498,1.0485
1845000,3.8714,460.50,0.2556,-2.6332,0.0498,0.9841
1850000,5.4309,419.70,0.3809,-2.5829,0.0498,1.1356
1855000,13.0445,402.90,0.1688,-2.5525,0.0498,1.0162
1860000,17.4296,503.00,0.2704,-2.7741,0.0498,1.0479
1865000,11.1418,521.45,0.2274,-2.5053,0.0498,1.0969
1870000,3.0095,510.90,0.2482,-2.5453,0.0498,1.0394
1875000,1.2073,479.60,0.2682,-2.7068,0.0498,1.0457
1880000,0.6364,525.20,1.0013,-2.2185,0.0498,1.0380
1885000,1.1247,532.15,0.2563,-2.7699,0.0498,0.9787
1890000,0.6958,583.35,0.1909,-2.6301,0.0498,1.0053
1895000,4.3126,369.60,0.1963,-3.0800,0.0498,1.0724
1900000,2.4357,459.70,0.2876,-2.5050,0.0498,1.0612
1905000,2.4676,364.70,0.3644,-2.2820,0.0498,1.0933
1910000,0.8680,458.15,0.2418,-2.3791,0.0498,1.0132
1915000,5.9696,523.60,0.1520,-2.6220,0.0498,1.0119
1920000,8.5245,438.85,0.0890,-2.5508,0.0498,1.0620
1925000,11.1895,464.85,0.1811,-2.5393,0.0498,1.0039
1930000,2.7807,456.00,0.1845,-2.6363,0.0498,0.9315
1935000,1.7024,497.80,0.1710,-2.3574,0.0498,1.0229
1940000,0.2330,523.10,0.3056,-2.9188,0.0498,0.9585
1945000,-0.7885,601.10,0.2849,-2.5750,0.0498,1.0259
1950000,2.8482,495.20,0.1084,-2.4467,0.0498,1.0487
1955000,2.7430,477.95,0.1443,-2.7472,0.0498,0.9530
1960000,9.2984,488.95,0.1665,-2.7388,0.0498,1.0182
1965000,4.9890,393.05,0.3062,-2.5904,0.0498,1.0949
1970000,4.4251,438.10,0.2044,-2.2248,0.0498,1.0244
1975000,3.7399,346.05,0.1941,-2.4462,0.0498,1.1116
1980000,0.5922,444.50,0.4602,-2.7662,0.0498,1.0271
1985000,1.1758,502.85,0.1894,-2.7013,0.0498,0.9376
1990000,2.2006,521.45,0.2007,-2.4582,0.0498,0.9821
1995000,5.7776,339.50,0.1722,-2.8621,0.0498,1.0591
2000000,2.2735,467.00,0.5832,-2.7039,0.0498,1.0293
